Location,Area (sqm),Property Type,Bedrooms,Bathrooms,Building Age (years),Furnishing Status,Floor Level,Amenities,Nearby Facility,Price 2023 (EGP),Price 2024 (EGP),Price 2025 (EGP)
6th of October,316,Apartment,1,1,14,Furnished,0,Swimming Pool,Metro Station,"4,050,015","5,610,976","6,567,834"
6th of October,117,Apartment,5,3,1,Unfurnished,6,Garden,Metro Station,"1,071,919","1,372,575","1,644,762"
6th of October,74,Villa,2,2,28,Furnished,11,None,School,"738,536","993,889","1,169,662"
Sheikh Zayed,221,Villa,4,1,12,Furnished,6,Garden,Metro Station,"3,312,196","4,522,016","5,330,309"
Nasr City,222,Apartment,4,2,3,Unfurnished,6,Gym,Hospital,"2,501,760","2,923,116","3,553,561"
New Cairo,379,Apartment,2,1,9,Furnished,9,Garden,Metro Station,"6,101,202","7,099,441","8,851,964"
6th of October,340,Apartment,3,2,12,Furnished,15,Gym,Mall,"2,639,186","3,386,853","4,099,324"
Maadi,339,Villa,3,1,9,Semi-Furnished,7,Garden,Hospital,"4,208,250","5,147,988","5,959,815"
6th of October,71,Apartment,4,1,28,Unfurnished,8,Swimming Pool,Mall,"587,961","794,899","920,142"
Maadi,333,Apartment,4,2,8,Furnished,8,Garden,Mall,"4,076,346","5,584,622","6,953,650"
Maadi,330,Villa,1,3,7,Unfurnished,1,Gym,School,"4,142,350","4,995,784","5,893,672"
6th of October,267,Villa,3,1,2,Unfurnished,12,None,School,"1,902,039","2,227,404","2,582,022"
Sheikh Zayed,86,Villa,2,3,15,Furnished,12,None,Mall,"1,209,409","1,613,542","1,952,232"
Maadi,131,Villa,3,2,13,Semi-Furnished,3,None,Mall,"1,349,216","1,595,369","1,934,170"
Maadi,119,Apartment,1,3,8,Unfurnished,11,Gym,Metro Station,"1,527,154","2,056,747","2,498,640"
6th of October,204,Villa,4,3,29,Furnished,16,Garden,Hospital,"1,766,249","2,167,403","2,550,470"
Maadi,152,Villa,4,3,20,Unfurnished,1,None,Metro Station,"1,785,487","2,321,606","2,673,355"
Maadi,368,Apartment,1,3,10,Semi-Furnished,12,None,School,"4,486,961","5,064,256","6,312,603"
6th of October,67,Apartment,2,3,2,Semi-Furnished,17,None,School,"503,289","647,812","761,237"
6th of October,138,Apartment,4,1,4,Semi-Furnished,14,Swimming Pool,Metro Station,"1,250,550","1,545,093","1,881,309"
New Cairo,86,Villa,5,1,28,Furnished,7,Gym,Hospital,"1,522,096","1,942,169","2,370,733"
Sheikh Zayed,233,Apartment,4,1,9,Furnished,14,Gym,Mall,"2,557,148","2,941,755","3,562,467"
Sheikh Zayed,109,Villa,5,2,12,Semi-Furnished,0,Gym,Metro Station,"1,045,893","1,381,690","1,632,178"
Maadi,258,Villa,1,3,3,Furnished,19,Gym,School,"3,519,105","4,781,897","5,628,818"
Sheikh Zayed,240,Villa,1,1,23,Semi-Furnished,9,Gym,Hospital,"2,338,337","2,724,214","3,295,664"
Maadi,83,Apartment,4,2,12,Furnished,11,Swimming Pool,School,"1,275,737","1,439,943","1,780,647"
New Cairo,375,Villa,3,1,11,Semi-Furnished,4,Garden,Hospital,"6,747,878","7,470,519","9,298,356"
6th of October,105,Apartment,5,1,4,Unfurnished,8,Swimming Pool,Hospital,"861,090","1,113,038","1,291,782"
6th of October,74,Apartment,2,3,9,Semi-Furnished,7,None,Hospital,"702,353","900,507","1,049,526"
6th of October,212,Apartment,4,2,27,Semi-Furnished,15,Swimming Pool,Metro Station,"1,774,856","2,243,435","2,791,896"
Sheikh Zayed,281,Villa,2,3,23,Furnished,13,Gym,Metro Station,"3,456,562","4,042,741","4,946,914"
New Cairo,265,Villa,4,3,8,Furnished,12,Swimming Pool,Metro Station,"4,560,822","5,551,760","6,874,742"
Sheikh Zayed,332,Villa,3,1,19,Furnished,12,Gym,Hospital,"3,575,261","4,570,409","5,348,582"
Sheikh Zayed,295,Apartment,3,3,6,Furnished,4,Swimming Pool,Hospital,"3,057,791","3,819,273","4,616,579"
New Cairo,399,Villa,3,2,1,Furnished,15,Gym,School,"6,201,834","8,659,842","10,565,994"
New Cairo,287,Villa,3,3,21,Furnished,10,None,Mall,"3,269,437","3,730,205","4,543,431"
New Cairo,68,Villa,1,3,23,Unfurnished,4,Gym,Metro Station,"1,059,726","1,386,698","1,651,301"
New Cairo,225,Villa,1,3,27,Semi-Furnished,12,Swimming Pool,Hospital,"2,898,007","3,539,324","4,075,671"
6th of October,378,Villa,5,1,22,Semi-Furnished,10,None,School,"3,303,552","4,058,282","4,903,592"
Nasr City,273,Apartment,2,2,6,Semi-Furnished,18,Swimming Pool,School,"2,809,168","3,694,841","4,342,584"
Nasr City,176,Apartment,4,1,7,Unfurnished,2,None,School,"1,715,320","2,243,177","2,680,653"
New Cairo,131,Apartment,4,1,6,Semi-Furnished,14,Garden,Metro Station,"1,808,304","2,526,882","3,147,884"
Nasr City,123,Apartment,1,1,20,Unfurnished,6,Garden,Metro Station,"1,331,731","1,516,201","1,804,133"
Nasr City,264,Villa,4,1,22,Unfurnished,6,Garden,Mall,"3,149,231","3,562,514","4,396,072"
New Cairo,268,Apartment,1,1,28,Unfurnished,5,Swimming Pool,School,"5,015,889","6,607,439","7,723,132"
Nasr City,131,Villa,5,2,13,Semi-Furnished,2,Swimming Pool,Metro Station,"1,317,029","1,677,257","2,041,635"
Sheikh Zayed,336,Apartment,2,3,25,Unfurnished,12,None,School,"4,134,750","4,888,301","6,099,136"
Maadi,333,Apartment,5,1,18,Semi-Furnished,6,None,Hospital,"3,915,403","4,400,232","5,105,102"
Maadi,379,Apartment,3,1,4,Semi-Furnished,4,None,School,"3,180,719","3,580,527","4,120,586"
New Cairo,397,Villa,3,2,22,Furnished,17,None,Mall,"4,267,317","5,838,788","6,967,766"
6th of October,154,Villa,3,2,24,Furnished,7,Gym,Metro Station,"985,837","1,141,166","1,322,911"
New Cairo,225,Apartment,5,3,17,Unfurnished,16,Garden,Hospital,"3,346,917","4,006,298","4,907,068"
6th of October,91,Villa,4,2,19,Unfurnished,19,Gym,Metro Station,"888,751","1,038,058","1,288,702"
Maadi,70,Apartment,2,3,11,Semi-Furnished,0,Gym,Hospital,"943,916","1,138,834","1,359,087"
New Cairo,360,Apartment,3,1,22,Unfurnished,13,Gym,School,"6,111,531","6,849,970","8,054,683"
Sheikh Zayed,276,Apartment,3,1,16,Unfurnished,16,Gym,School,"2,723,975","3,420,545","4,082,216"
Nasr City,348,Villa,3,3,12,Semi-Furnished,9,Garden,Mall,"3,040,677","3,406,421","4,163,821"
6th of October,161,Apartment,2,2,1,Unfurnished,11,Gym,Mall,"1,727,667","2,315,259","2,664,644"
Nasr City,326,Apartment,3,3,24,Unfurnished,15,None,Hospital,"3,258,330","3,812,616","4,609,245"
Nasr City,273,Apartment,2,2,12,Semi-Furnished,13,Swimming Pool,Mall,"2,031,189","2,563,368","3,105,083"
New Cairo,238,Villa,3,1,25,Semi-Furnished,15,None,Mall,"2,670,510","3,642,640","4,421,323"
Nasr City,147,Apartment,5,2,6,Furnished,7,Swimming Pool,Mall,"1,333,773","1,727,587","2,028,536"
Sheikh Zayed,100,Villa,5,3,27,Semi-Furnished,9,None,Mall,"1,321,299","1,664,688","2,033,259"
Nasr City,135,Apartment,2,3,9,Furnished,16,None,School,"1,457,022","1,744,492","2,022,110"
New Cairo,105,Villa,5,1,22,Unfurnished,17,Swimming Pool,Mall,"1,754,534","2,105,267","2,463,009"
Sheikh Zayed,219,Apartment,2,2,5,Semi-Furnished,19,Garden,School,"2,822,956","3,672,232","4,545,294"
Maadi,139,Apartment,5,2,2,Semi-Furnished,15,Gym,School,"1,683,984","2,354,617","2,881,750"
Nasr City,369,Villa,5,2,25,Semi-Furnished,16,None,Metro Station,"3,095,350","4,019,472","4,627,918"
New Cairo,145,Villa,2,1,2,Unfurnished,15,Garden,School,"2,444,164","3,097,575","3,639,148"
Maadi,151,Apartment,4,2,17,Furnished,18,Gym,School,"2,120,456","2,797,295","3,276,865"
Maadi,207,Villa,5,3,10,Unfurnished,7,Garden,Mall,"3,303,744","4,095,194","4,820,374"
6th of October,220,Apartment,3,2,21,Unfurnished,5,Garden,School,"2,654,275","2,967,593","3,486,198"
Sheikh Zayed,261,Apartment,4,1,19,Semi-Furnished,5,Gym,Hospital,"2,895,375","3,673,331","4,247,298"
Nasr City,301,Apartment,2,2,4,Furnished,8,None,Mall,"2,626,872","3,644,227","4,358,109"
New Cairo,61,Villa,4,2,18,Unfurnished,3,Garden,Mall,"877,155","1,011,001","1,236,731"
6th of October,284,Apartment,1,3,21,Semi-Furnished,11,None,Mall,"2,917,330","3,812,955","4,616,242"
Sheikh Zayed,348,Villa,1,2,26,Unfurnished,11,None,Metro Station,"3,883,447","4,505,887","5,484,958"
6th of October,292,Apartment,5,3,27,Unfurnished,16,None,Mall,"3,049,445","3,844,583","4,452,469"
Sheikh Zayed,136,Villa,5,3,18,Semi-Furnished,14,Gym,School,"1,292,044","1,458,722","1,816,326"
Sheikh Zayed,175,Villa,3,1,29,Semi-Furnished,8,Swimming Pool,Hospital,"2,071,888","2,559,013","3,157,436"
Nasr City,213,Apartment,4,3,14,Furnished,6,None,Mall,"1,855,548","2,462,032","3,029,553"
Sheikh Zayed,162,Villa,1,3,29,Unfurnished,9,Swimming Pool,Mall,"1,638,868","1,973,642","2,432,116"
6th of October,253,Apartment,5,1,15,Semi-Furnished,15,Swimming Pool,Hospital,"2,159,309","2,805,965","3,488,576"
Sheikh Zayed,225,Apartment,4,3,23,Semi-Furnished,11,Garden,Mall,"2,291,169","3,067,039","3,694,020"
Nasr City,149,Apartment,5,1,8,Furnished,6,None,Metro Station,"1,959,749","2,700,834","3,160,052"
Nasr City,233,Apartment,5,2,3,Furnished,17,None,School,"2,043,870","2,392,131","2,898,493"
6th of October,181,Apartment,1,1,14,Semi-Furnished,14,None,Hospital,"1,929,288","2,353,336","2,881,162"
Maadi,202,Villa,1,3,24,Furnished,5,Swimming Pool,Hospital,"2,656,415","3,043,521","3,724,636"
Maadi,165,Apartment,5,1,11,Semi-Furnished,11,Gym,Metro Station,"1,943,840","2,716,993","3,266,219"
Sheikh Zayed,364,Villa,2,3,22,Unfurnished,10,Swimming Pool,School,"3,867,392","5,329,654","6,165,588"
New Cairo,376,Villa,5,2,2,Furnished,19,None,Metro Station,"5,801,807","7,321,806","8,691,799"
Sheikh Zayed,182,Apartment,5,1,22,Unfurnished,2,None,School,"1,899,111","2,568,756","3,190,592"
6th of October,68,Villa,3,2,13,Unfurnished,1,None,Metro Station,"591,732","743,385","898,340"
6th of October,321,Apartment,3,3,16,Unfurnished,5,Swimming Pool,Mall,"2,667,577","3,433,374","4,133,210"
6th of October,132,Villa,3,3,18,Semi-Furnished,4,None,Metro Station,"895,953","1,009,504","1,188,070"
6th of October,282,Villa,2,2,5,Unfurnished,17,Garden,Hospital,"2,344,223","3,109,803","3,690,854"
6th of October,100,Villa,2,1,3,Unfurnished,15,None,Hospital,"1,046,353","1,191,079","1,476,384"
Nasr City,263,Apartment,5,1,6,Unfurnished,7,Gym,Hospital,"2,301,456","3,101,949","3,773,974"
Maadi,323,Villa,3,3,29,Semi-Furnished,19,Garden,Metro Station,"3,351,512","4,472,956","5,496,095"
6th of October,387,Apartment,2,2,18,Unfurnished,10,None,Hospital,"3,578,820","4,697,644","5,615,726"
New Cairo,237,Villa,1,2,16,Unfurnished,9,Garden,Hospital,"4,368,558","4,852,804","5,886,571"
New Cairo,377,Villa,5,1,24,Furnished,11,None,Mall,"4,681,688","5,575,602","6,550,431"
New Cairo,143,Villa,4,1,15,Semi-Furnished,5,Gym,Mall,"1,955,237","2,305,095","2,813,475"
New Cairo,377,Villa,5,1,14,Unfurnished,19,None,School,"4,978,969","6,014,799","7,174,212"
Nasr City,170,Apartment,4,2,21,Furnished,4,Garden,School,"1,882,647","2,120,412","2,532,312"
New Cairo,310,Apartment,3,1,7,Semi-Furnished,8,Gym,School,"3,736,635","5,160,620","6,269,804"
6th of October,66,Villa,4,1,18,Semi-Furnished,15,Swimming Pool,Metro Station,"649,356","822,176","1,022,481"
Sheikh Zayed,143,Villa,3,3,7,Semi-Furnished,13,Gym,School,"1,465,311","1,746,148","2,019,247"
New Cairo,267,Apartment,1,1,17,Semi-Furnished,7,Gym,Metro Station,"4,206,009","5,127,523","6,319,540"
Nasr City,373,Apartment,4,1,27,Semi-Furnished,19,Gym,Metro Station,"3,799,423","4,689,099","5,529,565"
Nasr City,81,Apartment,5,2,15,Semi-Furnished,18,Garden,School,"680,923","871,703","1,041,155"
New Cairo,62,Apartment,3,2,19,Unfurnished,13,Gym,School,"977,866","1,226,932","1,413,661"
Sheikh Zayed,186,Villa,5,3,18,Unfurnished,6,None,Metro Station,"1,963,027","2,700,768","3,187,188"
New Cairo,356,Villa,2,1,9,Unfurnished,4,Gym,Mall,"5,492,036","6,860,042","8,233,856"
Nasr City,247,Apartment,3,3,16,Unfurnished,17,Gym,Hospital,"1,940,062","2,711,523","3,133,483"
Maadi,73,Apartment,4,2,12,Furnished,1,None,Hospital,"847,274","1,148,419","1,377,080"
6th of October,71,Apartment,3,3,12,Unfurnished,10,None,Hospital,"537,643","625,039","776,743"
Nasr City,146,Apartment,5,2,6,Semi-Furnished,7,Swimming Pool,Mall,"1,245,483","1,717,744","1,993,509"
New Cairo,71,Apartment,1,3,26,Unfurnished,0,Gym,Metro Station,"706,030","801,281","982,726"
6th of October,84,Apartment,3,3,9,Unfurnished,11,Garden,School,"868,303","1,168,072","1,391,136"
New Cairo,360,Villa,4,1,1,Semi-Furnished,1,Gym,Metro Station,"6,065,369","7,364,493","8,951,669"
New Cairo,302,Villa,2,3,3,Unfurnished,17,Gym,Metro Station,"3,802,206","5,183,899","6,096,388"
Maadi,181,Villa,1,1,24,Unfurnished,6,None,School,"2,222,708","3,023,809","3,525,608"
6th of October,206,Apartment,2,1,5,Unfurnished,16,Swimming Pool,Mall,"1,710,818","2,295,537","2,676,703"
6th of October,114,Apartment,3,1,23,Furnished,13,Gym,Hospital,"1,274,318","1,703,775","1,971,352"
Maadi,297,Apartment,5,1,17,Unfurnished,6,Garden,Hospital,"2,490,446","2,967,127","3,467,280"
Nasr City,232,Villa,5,3,22,Semi-Furnished,2,Gym,Metro Station,"2,045,498","2,299,704","2,797,410"
New Cairo,280,Apartment,4,2,5,Semi-Furnished,5,Garden,Mall,"3,514,905","4,291,327","5,313,389"
Sheikh Zayed,178,Apartment,5,2,28,Unfurnished,19,None,Hospital,"1,993,957","2,297,153","2,828,744"
New Cairo,368,Villa,1,2,29,Unfurnished,1,Swimming Pool,Mall,"4,117,786","5,388,063","6,565,427"
New Cairo,242,Apartment,5,3,24,Unfurnished,16,Gym,School,"3,633,018","4,373,536","5,077,865"
Nasr City,347,Villa,4,1,22,Semi-Furnished,11,Swimming Pool,Metro Station,"2,885,958","4,019,226","4,738,341"
New Cairo,366,Villa,3,2,16,Semi-Furnished,11,Gym,Metro Station,"7,686,032","9,932,594","11,730,202"
Maadi,359,Apartment,3,3,13,Furnished,16,Garden,Mall,"4,416,566","5,947,984","6,988,856"
Maadi,141,Villa,5,1,23,Furnished,9,Swimming Pool,Hospital,"1,412,541","1,609,954","1,934,360"
6th of October,270,Apartment,2,2,10,Furnished,2,Gym,Mall,"3,086,307","4,193,070","5,046,592"
Sheikh Zayed,209,Villa,3,1,25,Semi-Furnished,19,None,School,"2,934,514","4,040,318","4,790,559"
New Cairo,96,Apartment,5,2,18,Furnished,17,Garden,Hospital,"1,454,015","1,811,876","2,147,759"
New Cairo,371,Villa,4,2,29,Unfurnished,12,Swimming Pool,Hospital,"5,753,976","7,375,883","9,093,398"
Nasr City,118,Apartment,5,2,1,Unfurnished,11,Gym,Mall,"1,203,408","1,599,862","1,966,118"
Maadi,190,Villa,3,1,27,Semi-Furnished,16,Swimming Pool,School,"1,894,386","2,183,189","2,577,865"
Sheikh Zayed,261,Villa,4,3,2,Furnished,3,Gym,Hospital,"2,935,919","3,672,159","4,558,541"
6th of October,302,Villa,5,1,10,Unfurnished,9,Garden,Metro Station,"3,567,612","4,351,056","5,418,290"
Maadi,94,Apartment,1,2,5,Semi-Furnished,10,None,School,"1,206,005","1,379,564","1,631,575"
6th of October,152,Apartment,4,1,28,Furnished,5,Garden,Hospital,"1,102,286","1,334,053","1,581,443"
Nasr City,266,Villa,1,3,13,Unfurnished,5,Swimming Pool,Mall,"2,505,143","2,806,892","3,369,852"
Nasr City,391,Apartment,2,1,18,Furnished,8,Swimming Pool,Hospital,"4,115,375","4,558,780","5,671,634"
New Cairo,364,Villa,4,3,25,Semi-Furnished,14,Gym,Metro Station,"7,281,045","8,304,395","10,277,785"
Sheikh Zayed,272,Apartment,1,3,15,Furnished,1,Garden,School,"2,938,433","4,081,292","4,735,347"
6th of October,218,Villa,3,1,20,Semi-Furnished,3,Gym,Hospital,"2,509,076","3,173,627","3,774,309"
Maadi,83,Apartment,3,2,21,Furnished,4,Garden,Metro Station,"1,057,726","1,469,972","1,771,811"
Nasr City,352,Villa,2,3,23,Unfurnished,16,Swimming Pool,Hospital,"2,822,213","3,470,614","4,165,825"
New Cairo,63,Villa,4,1,6,Semi-Furnished,7,Gym,Hospital,"706,613","843,375","986,231"
New Cairo,279,Villa,4,3,29,Semi-Furnished,7,Gym,School,"5,241,941","6,562,085","8,109,961"
6th of October,79,Villa,4,2,26,Semi-Furnished,11,Garden,Mall,"867,819","1,069,026","1,301,747"
Nasr City,211,Apartment,2,1,7,Furnished,7,None,Mall,"1,611,230","1,823,428","2,249,729"
Sheikh Zayed,109,Villa,4,1,18,Furnished,18,Garden,Metro Station,"903,686","1,167,787","1,443,240"
Nasr City,236,Apartment,3,1,19,Unfurnished,2,None,Metro Station,"2,569,527","2,993,014","3,665,951"
6th of October,155,Apartment,1,2,15,Semi-Furnished,17,Garden,Metro Station,"1,251,376","1,609,115","1,921,156"
6th of October,164,Villa,3,3,21,Semi-Furnished,18,Swimming Pool,School,"1,022,515","1,324,219","1,603,701"
Nasr City,309,Apartment,3,1,26,Furnished,18,Gym,Mall,"3,315,782","3,798,585","4,429,289"
6th of October,176,Apartment,1,3,6,Furnished,14,Garden,Metro Station,"1,771,431","1,981,177","2,411,815"
Nasr City,287,Apartment,3,3,8,Unfurnished,5,Swimming Pool,Metro Station,"2,823,000","3,766,528","4,399,023"
Maadi,125,Villa,2,2,12,Unfurnished,15,Garden,Hospital,"1,308,629","1,620,005","1,975,426"
Nasr City,394,Apartment,1,1,0,Furnished,7,Gym,Hospital,"3,841,762","4,292,974","5,035,486"
Nasr City,321,Apartment,3,3,28,Semi-Furnished,15,Garden,Metro Station,"3,205,721","4,483,072","5,208,232"
6th of October,354,Villa,5,1,7,Unfurnished,17,None,Hospital,"3,122,966","3,489,397","4,070,481"
6th of October,302,Villa,3,1,23,Furnished,19,Gym,Hospital,"3,025,056","3,958,317","4,552,853"
New Cairo,245,Apartment,2,2,21,Furnished,15,None,Hospital,"3,727,517","5,200,273","6,354,079"
New Cairo,305,Villa,4,1,3,Semi-Furnished,10,Swimming Pool,School,"4,778,983","5,599,793","6,849,891"
Maadi,184,Apartment,3,1,2,Furnished,6,Swimming Pool,Metro Station,"2,650,215","3,028,333","3,638,523"
New Cairo,327,Apartment,4,3,26,Furnished,16,Garden,Metro Station,"4,941,078","5,615,117","6,547,992"
Nasr City,190,Apartment,5,2,2,Unfurnished,16,None,Hospital,"1,592,114","1,896,180","2,196,450"
6th of October,296,Villa,3,1,21,Furnished,11,None,School,"2,544,058","2,875,584","3,312,422"
New Cairo,77,Apartment,1,3,12,Furnished,12,Gym,Hospital,"1,024,909","1,340,221","1,563,468"
New Cairo,99,Villa,4,2,7,Unfurnished,9,None,School,"1,202,883","1,345,650","1,667,375"
Maadi,80,Villa,5,2,6,Semi-Furnished,6,None,Metro Station,"968,262","1,213,065","1,424,325"
Maadi,284,Apartment,1,3,26,Semi-Furnished,13,Gym,Hospital,"2,738,398","3,831,044","4,541,424"
Nasr City,341,Villa,1,3,0,Unfurnished,0,Gym,Metro Station,"4,351,001","5,848,577","6,787,476"
6th of October,67,Villa,1,3,26,Unfurnished,16,None,School,"564,447","725,070","849,953"
Maadi,159,Villa,1,3,15,Semi-Furnished,3,Garden,Mall,"1,753,900","2,090,431","2,512,536"
New Cairo,299,Villa,3,3,5,Semi-Furnished,4,Gym,School,"5,024,040","6,466,787","7,829,826"
6th of October,146,Villa,3,1,6,Semi-Furnished,19,Gym,Mall,"1,167,002","1,468,220","1,724,476"
6th of October,357,Apartment,3,1,11,Semi-Furnished,6,None,Metro Station,"3,363,740","4,130,084","4,773,440"
New Cairo,73,Villa,5,2,22,Semi-Furnished,9,None,Metro Station,"899,457","1,024,673","1,218,443"
Maadi,393,Apartment,5,1,8,Unfurnished,16,Gym,Hospital,"4,368,329","5,967,056","7,001,865"
New Cairo,61,Apartment,5,1,26,Furnished,6,None,Mall,"806,207","995,614","1,166,815"
6th of October,352,Apartment,2,1,10,Semi-Furnished,0,Gym,School,"2,067,365","2,394,809","2,983,899"
Sheikh Zayed,384,Apartment,5,3,9,Semi-Furnished,6,Garden,Metro Station,"5,079,549","6,147,920","7,449,005"
Sheikh Zayed,100,Apartment,3,2,20,Furnished,10,Garden,Mall,"963,100","1,179,065","1,421,584"
Nasr City,377,Apartment,3,2,0,Furnished,8,Gym,School,"3,794,195","5,115,566","6,095,594"
New Cairo,375,Villa,2,2,17,Furnished,11,Gym,Mall,"5,947,092","7,850,662","9,365,012"
New Cairo,170,Villa,2,2,3,Furnished,2,Swimming Pool,School,"2,911,290","3,874,320","4,665,032"
Nasr City,73,Villa,5,1,4,Furnished,3,Swimming Pool,School,"605,954","668,555","815,398"
Nasr City,290,Apartment,4,1,8,Furnished,3,None,School,"2,121,530","2,598,548","3,170,786"
Nasr City,143,Villa,2,3,26,Unfurnished,12,None,School,"1,698,036","2,113,042","2,466,278"
6th of October,189,Villa,1,2,16,Furnished,18,Gym,Mall,"1,871,942","2,069,915","2,483,921"
